2009-06-22 	4 	5 	Russia	 Nazran,	 Ingushetia, Russia A suicide bomber targeted the Ingush president, Yunus-bek Yevkurov, injuring five people including himself. It is also known that four people were killed in this suicide blast.[193]
2009-07-05 	0 	2 	Serbia	 Bujanovac,	 Serbia. Two policemen, Nenad Nikolic and Miloš Cerovic were injured in RPG attack on their vehicle while patrolling the village of Lucane near Bujanovac.[196]
2009-07-07 	6 	40 	Philippines	 Jolo	 and Iligan, Mindanao. Two bombs exploded in two separate cities, killing six and injuring up to 40.[197]
2009-07-07 	0 	0 	Spain	 Durango, (Spain).	 A powerful bomb damages a recreation center of the ruling Socialist Party in Northern Basque region of Spain. No one was injured in the attack, claimed to ETA.[198]
2009-07-22 	0 	0 	France	 Vescovato	 A car bomb exploded against à police station in Vescovato (Corsica). This attack is claimed by FLNC.[201]
2009-07-29 	0 	65 	Spain	 Burgos	 A car bomb containing 200 kilogrames of explosives exploded in a 14-story barracks of the Guardia Civil in the northern city of Burgos. no deaths were reported, but more than 60 people were injured.[203]
2009-07-30 	2 	3 	Spain	 Calvia, Majorca	 A car bomb exploded outside a Guardia Civil offices in Calvià, Majorca, killing two members of the Guardia Civil Carlos Sáenz de Tejada and Diego Salva Lezaun. ETA was blamed for the attack and the authorities 'sealed' all entry and exit points to the island to avoid the terrorists' escape. Another explosive device was found under a policeman car in the same town some hours later and deactivated by police. "Two Spain police killed by new bomb blamed on ETA". Reuters UK. July 30, 2009. Retrieved July 30, 2009.
2009-08-12 	1 	1 	Russia	 Ingushetia	 Two masked gunmen shot dead the construction minister for the republic of Ingushetia whilst he was in his office. His assistant was reportedly wounded in this assault.[205]
2009-08-17 	25 	164 	Russia		 Nazran at least 25 people have been killed by a powerful bomb attack at a police station in southern Russia, officials and hospital sources say.[209]
2009-08-26 	3 	3 	Colombia	 San Vicente del Caguán	 Colombia A bomb blast killed 3 civilians and wounded 3 other in the Caqueta department.[216]
2009-09-02 	0 	1 	Greece	 Athens	 Greece A bomb in a van explodes outside the Athens Stock Exchange, injuring a passerby and damaging the building, and a bomb explodes outside a government building in Thessaloniki causing minor damage but no injuries.[218]
2009-11-22 	7 	25 	India	 Assam	 India Suspected ULFA militants triggered two blasts on bicycle close to a police station in Nalbari, Assam, killing at least seven persons and injuring 25 others.[251]
2009-12-05 	1 	5 	Philippines	 Zamboanga City	 A cell-phone triggered improvised bomb explosion leveled a police station to the ground and greatly damaged a municipal jail.[260]
2009-12-07 	7 	0 	Turkey 	Tokat	 Turkey Seven Turkish soldiers are killed in an ambush carried out by suspected PKK rebels.[263]
2009-12-26 	3 	3 	Lebanon	 Beirut	 Lebanon A car bomb attack in the Lebanese capital Beirut targets a Hamas official.[281]
